length,trial,distinct,acc,best_score,true_score,spurious,plain,best
13,0,13,0.0,188.261,114.626,1,VESIWILLNOTGI,SIFYOUREANDTH
13,1,13,0.0,185.817,116.948,1,ORRESTBECAUSE,RYOFTHESANDIM
13,2,13,0.0769,182.197,106.471,1,FUNTHANKILLIN,SCLEANDWITHOU
13,3,13,0.0,185.545,103.927,1,EYREACHPARADI,BUSINGOFTHEPR
13,4,13,0.0,185.817,133.418,1,MEBECAUSEYOUW,LDYOURINGTHEM
13,5,13,0.0,183.826,105.199,1,EKILLINGPEOPL,AVERYOUTHINGS
13,6,13,0.0,190.523,114.689,1,OFDEATHIAMNOT,CKINGFORTHEMA
13,7,13,0.0,181.654,139.166,1,ECAUSEYOUWILL,OVERTHANDISCU
13,8,12,0.0,173.099,127.265,1,TRYINGTOCATCH,USEOFTHINGAND
13,9,13,0.0,185.726,99.562,1,BETTERTHANGET,UCKINGOFTHESA
13,10,13,0.0,185.636,91.687,1,MEWHEREEVERYO,SOFTHEPRINGAB
13,11,13,0.0,185.636,109.983,1,UNTHANKILLING,REDWITHANKYOU
13,12,13,0.0769,185.545,89.226,1,ILLBEREBORNIN,WITHANKYOURSE
13,13,12,0.0,174.262,126.07,1,NGETTINGYOURR,BEINGTHEPRODU
13,14,13,0.0,185.364,160.711,1,LDGAMEINTHEFO,ILOVERTHANKSF
13,15,13,0.0769,189.437,131.321,1,LLSENDMETOPAR,SAYINGTHEWORL
13,16,13,0.0,185.817,111.951,1,DEATHIAMNOTAF,RYOFTHESANDIM
13,17,12,0.0,170.771,128.81,1,SOFFWITHAGIRL,WILLSANDTHECO
13,18,13,0.0,186.451,103.927,1,EYREACHPARADI,UREANDTHISCOM
13,19,12,0.0769,171.935,113.74,1,NOWHAVEENOUGH,DINGTHECOMPAG
13,20,12,0.0,167.694,114.342,1,GIVEYOUMYNAME,MOTHERSANDCAL
13,21,12,0.0769,166.364,93.031,1,LLTHEIHAVEKIL,PLEASTANDYOUR
13,22,12,0.3077,170.189,116.145,1,FWITHAGIRLTHE,SOFTHERINGWHA
13,23,13,0.0,183.916,110.667,1,EMOATTHRILLIN,SWITHERANDCOM
20,0,20,0.0,225.363,168.711,1,INTHEFORRESTBECAUSEM,LUSFROMACKINGTHEDBYP
20,1,18,0.05,201.718,152.042,1,ROCKSOFFWITHAGIRLTHE,DPLACESSTHEINGYOURIM
20,2,20,0.05,225.857,126.393,1,HAMBERBECAASEITWILLS,BLACKEDSOFTHEPRINGMY
20,3,18,0.05,212.442,96.944,1,YNEWLIFEISLIFEWILLBE,PLYWIDESOFTHEBACKING
20,4,19,0.0,219.031,107.134,1,ARTOFITIATHAEWHENIDI,RYJUSTHELINGBANDCOMP
20,5,19,0.0,212.442,140.039,1,CESOTHEYAREAFRAIDOFD,LDWASTHECOVERYINGFRU
20,6,20,0.05,224.877,150.253,1,AGIRLTHEBESTPARTOFIT,YMUCHINGPERSOFTWALKB
20,7,20,0.05,223.869,125.16,1,LLBEANEASYONEINPARAD,DSOFTHEWORKINGMAYBUC
20,8,17,0.0,200.936,131.825,1,INGGIVESMETHEMOATTHR,FULLYANDTOMISTHEPRIC
