id,cipher,claimant,year,claimed,plaintext,key_source,wildcards,freedoms,direct_min_errors,fits_homophonic,fits_simple,min_errors,conflicts,score,free_best,beaten_by_free,z340_agree,z340_expected,z340_p,z408_agree,z408_expected,z408_p,grade
Z13-bauer,z13,Craig Bauer,2017,ALFRED E NEUMAN,ALFREDENEUMAN,,False,,,False,False,1,"{""N"": {""F"": 1, ""M"": 1}}",89.51,112.24,1.0,0/9,0.71,1.0000000000000002,0/9,0.66,1.0000000000000002,C
Z13-garlick,z13,Ryan Garlick,2020,DR EAT A TOTPEDO,DREATATOTPEDO,z340,False,为 Z340 中没有的两个符号（圈8、[）另行指定字母；接受拼写错误 TOTPEDO,,True,False,0,,65.74,112.24,1.0,9/9,0.71,6.676948426454338e-11,2/9,0.66,0.13422158486961322,B
Z13-stewart,z13,Gary L. Stewart,2014,EARL VAN BEST JR,EARLVANBESTJR,,False,以“字母数为 13”作为依据,,False,False,5,"{""A"": {""E"": 1, ""J"": 1}, ""N"": {""R"": 1, ""T"": 1}, ""0"": {""V"": 1, ""N"": 1, ""E"": 1}, ""M"": {""B"": 1, ""R"": 1}}",86.74,112.24,1.0,1/9,0.71,0.5268215333335585,0/9,0.66,1.0000000000000002,C
Z13-kelleher,z13,Michael Kelleher,2002,THE BIG SECRETE,THEBIGSECRETE,,True,三个圈8视为通配符,,False,False,2,"{""0"": {""I"": 1, ""S"": 1, ""C"": 1}}",94.79,112.24,1.0,2/9,0.71,0.15522012531717766,2/9,0.66,0.13422158486961322,C
Z13-ziraoui,z13,Fayçal Ziraoui,2021,KAYR → KAYE（Lawrence Kane）,,,False,多步变换（Z340 密钥 → A1Z26 变体 → 表盘位置 → Trifid）,,,,,,,112.24,,,,,,,,D
Z13-casebreakers,z13,Case Breakers,2021,Gary Francis Poste,,,False,变位（anagram）；先选定嫌疑人,,,,,,,112.24,,,,,,,,D
Z13-clausen,z13,Tim Clausen,2025,LEE ALLEN / ALLEN NAME,,,False,“校验和”规则指定圈8；字母数与密文长度不一致,,,,,,,112.24,,,,,,,,D
Z13-baber,z13,Alex Baber,2025,MARVIN MERRILL（称为 Black Dahlia 嫌疑人 Marvin Margolis 的化名）,,,True,"未公开的 2×7 网格换位与空符；以 “ELIZABETH” 为密钥；“专有 AI” 从 7,100 万个名字中筛选",5,,,,,,112.24,,,,,,,,D
Z13-dominik,z13,Matthew Dominik,2026,AIM NOT O NORMAN,AIMNOTONORMAN,,False,,,True,False,0,,81.08,112.24,1.0,0/9,0.71,1.0000000000000002,0/9,0.66,1.0000000000000002,B
Z13-insphare,z13,Insphare（GitHub）,2026,NEIL [X]. G. KING,NEILXGKING,,True,圈 8 视为空格（空符）；中间名首字母 X 未定,,True,True,0,,24.46,101.81,1.0,0/9,0.71,1.0000000000000002,1/9,0.66,0.4989370345083447,C
